trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
1,2025-10-14,LONG,ASIAN_SWEEP_WINDOW,4165.01,4165.01,4178.39,0.1,4178.39,TP,133.8,3.0,1432,2025-10-14 13:40 NPT,2025-10-14 14:00 NPT,4106.54,4166.47,4163.55,BULLISH,True
2,2025-10-14,LONG,NY_PM_SILVER_BULLET,4136.27,4132.07,4148.87,0.1,4132.07,SL,-42.0,1.0,1930,2025-10-15 00:05 NPT,2025-10-15 00:35 NPT,4106.54,4137.47,4135.07,BULLISH,False
3,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4260.96,4255.47,4304.83,0.1,4255.47,SL,-54.9,1.0,5792,2025-10-20 12:45 NPT,2025-10-20 14:05 NPT,4219.03,4263.44,4258.47,BULLISH,False
4,2025-10-24,LONG,ASIAN_SWEEP_WINDOW,4109.26,4103.97,4151.58,0.1,4103.97,SL,-52.9,1.0,10164,2025-10-24 13:40 NPT,2025-10-24 14:40 NPT,4105.92,4111.55,4106.97,BULLISH,False
5,2025-11-14,LONG,ASIAN_SWEEP_WINDOW,4192.96,4189.9,4217.4,0.1,4189.9,SL,-30.6,1.0,26726,2025-11-14 13:30 NPT,2025-11-14 13:40 NPT,4169.86,4193.01,4192.9,BULLISH,False
6,2025-11-28,LONG,NY_PM_SILVER_BULLET,4191.94,4191.94,4206.79,0.1,4206.79,TP,148.5,3.0,38248,2025-11-28 23:45 NPT,2025-11-29 00:05 NPT,4157.95,4193.89,4189.99,BULLISH,True
7,2025-11-28,LONG,NY_PM_SILVER_BULLET,4203.88,4203.88,4216.02,0.1,4216.02,TP,121.4,3.0,38254,2025-11-29 00:10 NPT,2025-11-29 01:40 NPT,4157.95,4204.93,4202.84,BULLISH,True
8,2025-12-02,LONG,ASIAN_SWEEP_WINDOW,4218.6,4215.08,4246.8,0.1,4215.08,SL,-35.2,1.0,39828,2025-12-02 13:05 NPT,2025-12-02 14:05 NPT,4206.13,4219.13,4218.08,BULLISH,False
9,2025-12-02,LONG,NY_PM_SILVER_BULLET,4181.04,4176.54,4216.99,0.1,4197.74,EOD,167.0,3.71,40344,2025-12-03 00:25 NPT,2025-12-03 03:45 NPT,4191.11,4182.53,4179.54,BULLISH,False
10,2025-12-03,LONG,NY_PM_SILVER_BULLET,4218.14,4218.14,4236.03,0.1,4218.14,BE,0.0,0.0,41481,2025-12-04 00:20 NPT,2025-12-04 00:35 NPT,4202.84,4218.48,4217.8,BULLISH,True
